numNotaFiscal,Data,Valor,AssinaturaServidor,classificacao,matched_num,matched_valor,matched_emissao,observacao
2382,02-10-25,"47,00",SUQTCL,OUTRO,2386,16.0,17/10/2025 08:05:23,VERIFICAR_NUMNOTA (dif=4)
65532,,"14,75",VACA LOKA,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
56849,05-10-25,"47,00",RODOVIA,ALMOCO,56849,47.0,05/10/2025 12:06:20,OK
18323,06-10-25,"47,00",VELHA AM,ALMOCO,18323,47.0,06/10/2025 12:40:02,OK
394551,06-10-25,"44,98",ESTACAU,JANTA,394551,44.98,06/10/2025 17:57:20,OK
394108,05-10-25,"47,98",ESTACRU,JANTA,394108,47.98,05/10/2025 18:43:17,OK
34672,07-10-25,"49,00",AEROPORTO,ALMOCO,34672,49.0,07/10/2025 12:31:55,OK
107157,07-10-25,"13,40",PANDA,OUTRO,107157,13.4,07/10/2025 09:32:17,OK
1046,03-10-25,"160,00",SANTA HEL,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
01616,06-10-25,"16,50",MINELEC,OUTRO,1616,16.5,06/10/2025 09:57:14,OK
01619,07-10-25,"16,50",MINEIRO,OUTRO,1619,16.5,07/10/2025 09:44:29,OK
65537,03-10-25,"47,00",VACIA LOKA,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
34594,03-10-25,"50,00",AEROPORTO,ALMOCO,34594,50.0,03/10/2025 13:03:58,OK
722300,03-10-25,"12,97",,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
048401,07-10-25,"201,73",PANDA-COM,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
23359,07-10-25,"160,00",PKMONT,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
1865,08-10-25,"160,00",DONA LINDE,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
7100077,08-10-25,"10,00",POSTO BC,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
11521,08-10-25,"47,00",3 IRMAOS,ALMOCO,11521,47.0,08/10/2025 13:08:46,OK
9919,09-10-25,"447,00",CAMINHO,ALMOCO,9919,47.0,09/10/2025 13:08:26,OK
18/55,08-10-25,"17,00",RIO VERDE,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
15323,10-10-25,"47,00",PATO BRACO,NAO_ENCONTRADO,,,,NAO_ENCONTRADO
74828,10-10-25,"47,00",VACA LOKA,JANTA,74828,47.0,10/10/2025 18:36:04,OK
57090,14-10-25,"42,00",RODOVIN,ALMOCO,57090,47.0,14/10/2025 12:08:15,OK
18483,14-10-25,"47,00",AMIZADE,JANTA,18483,47.0,14/10/2025 19:04:15,OK
18503,15-10-25,"47,00",AMIZADE,ALMOCO,18503,47.0,15/10/2025 13:10:34,OK
